REGION,TIMESLICE,FUEL,YEAR,VALUE
"SC","TM06","RESELC",2035,0.000387757784311672
"SC","TM06","RESELC",2036,0.000392190362812022
"SC","TM06","RESELC",2037,0.00039667561586392
"SC","TM06","RESELC",2038,0.000401214211096188
"SC","TM06","RESELC",2039,0.00040580680251257
"SC","TM06","RESELC",2040,0.00041045404411681
"SC","TM06","RESELC",2041,0.000415156630787886
"SC","TM06","RESELC",2042,0.000419915243779698
"SC","TM06","RESELC",2043,0.000424730577971224
"SC","TM06","RESELC",2044,0.00043047425685228
"SC","TM06","RESELC",2045,0.000436217935733336
"SC","TM06","RESELC",2046,0.000441961600989314
"SC","TM06","RESELC",2047,0.00044770527987037
"SC","TM06","RESELC",2048,0.000453448958751426
"SC","TM06","RESELC",2049,0.000459192637632482
"SC","TM06","RESELC",2050,0.000464936316513538
"SC","TM06","TX",2025,2.246432892581e-05
"SC","TM06","TX",2026,2.590411837732e-05
"SC","TM06","TX",2027,2.930992455215e-05
"SC","TM06","TX",2028,3.274961311318e-05
"SC","TM06","TX",2029,3.619176087966e-05
"SC","TM06","TX",2030,3.901783354133e-05
"SC","TM06","TX",2031,4.097998102276e-05
"SC","TM06","TX",2032,4.275788146886e-05
"SC","TM06","TX",2033,4.448573182934e-05
"SC","TM06","TX",2034,4.601310860229e-05
"SC","TM06","TX",2035,4.741290515951e-05
"SC","TM06","TX",2036,4.868591180976e-05
"SC","TM06","TX",2037,4.987736111824e-05
"SC","TM06","TX",2038,5.087927504873e-05
"SC","TM06","TX",2039,5.186409224663e-05
"SC","TM06","TX",2040,5.269546343199e-05
"SC","TM06","TX",2041,5.354015216071e-05
"SC","TM06","TX",2042,5.438483668566e-05
"SC","TM06","TX",2043,5.522952121061e-05
"SC","TM06","TX",2044,5.607420993933e-05
"SC","TM06","TX",2045,5.691889446428e-05
"SC","TM06","TX",2046,5.7763583193e-05
"SC","TM06","TX",2047,5.860826771795e-05
"SC","TM06","TX",2048,5.94529522429e-05
"SC","TM06","TX",2049,6.029764097162e-05
"SC","TM06","TX",2050,6.114232549657e-05
"SC","TM07","COMELC",2019,0.000622704325848044
"SC","TM07","COMELC",2020,0.000463964753964266
"SC","TM07","COMELC",2021,0.000486554834791683
"SC","TM07","COMELC",2022,0.00064668482172298
"SC","TM07","COMELC",2023,0.000659986260702358
"SC","TM07","COMELC",2024,0.000683046897903094
"SC","TM07","COMELC",2025,0.000706138960992324
"SC","TM07","COMELC",2026,0.000728811012843575
"SC","TM07","COMELC",2027,0.000751483064694826
"SC","TM07","COMELC",2028,0.000774155132243324
"SC","TM07","COMELC",2029,0.000796827184094575
"SC","TM07","COMELC",2030,0.000819499235945826
"SC","TM07","COMELC",2031,0.000824486298409467
"SC","TM07","COMELC",2032,0.00082952321532958
"SC","TM07","COMELC",2033,0.000834610504715316
"SC","TM07","COMELC",2034,0.000839748668878579
"SC","TM07","COMELC",2035,0.000844938210131273
"SC","TM07","COMELC",2036,0.000850179646482549
